generation,value,overweight
1,5656,6078
2,5480,4270
3,2159,1867
4,3060,1010
5,541,0
6,1224,0
7,1428,0
8,1428,0
9,1428,0
10,1428,0
11,1428,0
12,1428,0
13,1428,0
14,1428,0
15,1428,0
16,1428,0
17,1428,0
18,1428,0
19,1428,0
20,1428,0
21,1428,0
22,1428,0
23,1428,0
24,1428,0
25,1428,0
26,1428,0
27,1428,0
28,1428,0
29,1428,0
30,1428,0
31,1428,0
32,1428,0
33,1428,0
34,1428,0
35,1428,0
36,1428,0
37,1428,0
38,1428,0
39,1428,0
40,1428,0
41,1428,0
42,1428,0
43,1428,0
44,1428,0
45,1428,0
46,1428,0
47,1428,0
48,1428,0
49,1428,0
50,1428,0
