generation,value,overweight
1,12527,5895
2,9198,3567
3,8364,1754
4,4588,510
5,5675,64
6,5766,0
7,6674,11
8,6674,11
9,6674,11
10,7274,51
11,6918,0
12,7484,0
13,8112,11
14,8112,11
15,8112,11
16,8112,11
17,8112,11
18,8242,11
19,8373,0
20,8373,0
21,8373,0
22,8373,0
23,8373,0
24,8373,0
25,8373,0
26,8373,0
27,8373,0
28,8373,0
29,8373,0
30,8373,0
31,8373,0
32,8373,0
33,8373,0
34,8373,0
35,8373,0
36,8373,0
37,8373,0
38,8373,0
39,8373,0
40,8373,0
41,8373,0
42,8373,0
43,8373,0
44,8373,0
45,8373,0
46,8373,0
47,8373,0
48,8373,0
49,8373,0
50,8373,0
